Time,bit-x,bitfinex,bitflyer,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2016-08-31 00:00:00 UTC,5405.004,3511.25386186,10880.71906744,4273.26345507,60839.4121000001,4820.6365511,138757.366800012,3405.83529665,345350.49700002,42025.116814463334
2016-09-01 00:00:00 UTC,5372.098,3616.49453131,12145.57407817,3092.94486159,66063.7311000001,5670.40469194,144964.078600013,5029.6175522,339437.75800005,41194.057603831134
2016-09-02 00:00:00 UTC,5213.304,5670.91686647,13217.91824268,3323.00390323,63498.5953000001,5267.18512168,136455.431400011,4372.31612697,353378.04800004,42805.069330621605
2016-09-03 00:00:00 UTC,5165.535,8205.25257421,17403.28805687,5021.07703440999,163290.3471,5056.62789134,195718.210600003,6910.58468271,485841.457999992,76407.13229286969
2016-09-04 00:00:00 UTC,5093.097,5061.10388377,17917.12205345,4106.6556091,128667.183600001,5058.57316011,354559.715700016,5791.61179679,741504.911999642,49932.56611554693
2016-09-05 00:00:00 UTC,5216.112,5077.20791116,17193.32756241,4200.57532951,133974.777600001,3308.38674234,224821.17290001,4533.15877237,543540.874999873,59222.514803903265
2016-09-06 00:00:00 UTC,4679.931,3089.90030138,16123.64455322,4433.59360957,146339.7617,4593.05049227,195156.18570001,4186.2803572,489615.686999924,46174.82984469466
2016-09-07 00:00:00 UTC,3456.004,5526.08815432,16336.0949472,4813.55787283,225010.8197,5070.82191605,196706.210500027,4207.81659425,274685.916999979,43425.4831237763
2016-09-08 00:00:00 UTC,5315.02,8271.43993824,19608.02239244,4777.95451314,204988.2732,5839.13543845,1099676.65079994,5813.59418281,1006012.89299973,52406.120415014695
2016-09-09 00:00:00 UTC,2847.63,4272.0667237,16260.74768099,3545.12091745,168006.0467,4911.82711016,423356.258200011,3861.50222523,627102.325999835,47852.44958177616
2016-09-10 00:00:00 UTC,,4044.14425778,22835.58063273,1648.26124153,196538.250300001,3049.57199439,255724.356900011,2027.45368841,424876.703000046,46109.970689455906
2016-09-11 00:00:00 UTC,,9640.78154316999,24520.75784897,5714.25990169,500509.547800001,4697.82521339,657079.901899951,5941.2055565,712579.352999882,46489.8361578758
2016-09-12 00:00:00 UTC,,4972.78278704,16536.41157458,3844.65860695,339546.197400001,4217.15812391999,491992.183800009,3437.75124882,579197.287999871,62433.28514754727
2016-09-13 00:00:00 UTC,,7273.90802996,19196.83954691,3812.31461506,273348.189500001,4350.08634585,352064.159900006,4903.11215871,442786.388000026,72455.57614901732
2016-09-14 00:00:00 UTC,,5932.2014428,13668.1511982,3113.07534118,292090.3658,4143.01367719999,273009.545300015,3382.71171358,390641.869000038,45647.08514503104
2016-09-15 00:00:00 UTC,,4374.86124848,14626.25151291,3394.43681485,245612.993300001,4342.88943664998,257483.970600012,3601.24260867,350893.61400006,41555.62086498099
2016-09-16 00:00:00 UTC,,3703.33212784,6356.04946462999,2808.50074922,253062.9312,4451.3930778,249137.777600007,4285.59801145,350123.730000047,41837.80001975311
2016-09-17 00:00:00 UTC,,3566.49931965,4871.62543127,1232.1186851,199062.4915,3166.10576493,259374.291600012,1898.014344,386787.919000003,35417.4367337324
2016-09-18 00:00:00 UTC,,2932.95793227,15169.7831732,1480.31423741,289111.441900001,3269.61247409999,882888.831199986,2583.28320608,744593.106999858,35469.670505345835
2016-09-19 00:00:00 UTC,,2956.96640014,15073.61062312,2660.81367037,242545.6432,3469.86007373,845297.258399994,3611.47418722,910392.405999853,46890.33858900067
2016-09-20 00:00:00 UTC,,3414.85985074,12699.58123414,3044.75734462,235557.4316,4950.1063199,609151.721199999,5150.43603491,717706.821999949,42937.392218982546
2016-09-21 00:00:00 UTC,,7658.45169444,22749.84286724,4153.79014733,327619.0688,5420.32469156,1049885.47289997,6358.12518017,1104288.61199988,62345.76923407548
2016-09-22 00:00:00 UTC,,2333.42531112,19237.29551879,2743.70702129,223311.425400001,4348.75430936,632974.598800003,4374.36007217,739312.938999935,55843.7415981438
2016-09-23 00:00:00 UTC,,1957.41100837,21032.26806055,4253.48039401,256624.489700001,4119.82445588,1017437.1858,4032.90089389,1079446.57199976,51923.45156397005
2016-09-24 00:00:00 UTC,,943.40330697,19041.1392983,1283.56547745,163003.287600001,2882.7889418,744412.904899998,1880.36392478,881483.023999834,41920.50462562402
