t,v
2010-01-26T00:00:00Z,33536
2010-01-27T00:00:00Z,33680
2010-01-28T00:00:00Z,33836
2010-01-29T00:00:00Z,34015
2010-01-30T00:00:00Z,34194
2010-01-31T00:00:00Z,34342
2010-02-01T00:00:00Z,34517
2010-02-02T00:00:00Z,34641
2010-02-03T00:00:00Z,34905
2010-02-04T00:00:00Z,35097
2010-02-05T00:00:00Z,35080
2010-02-06T00:00:00Z,35244
2010-02-07T00:00:00Z,35456
2010-02-08T00:00:00Z,35538
2010-02-09T00:00:00Z,35331
2010-02-10T00:00:00Z,34894
2010-02-11T00:00:00Z,34989
2010-02-12T00:00:00Z,35137
2010-02-13T00:00:00Z,35286
2010-02-14T00:00:00Z,35445
2010-02-15T00:00:00Z,35537
2010-02-16T00:00:00Z,35720
2010-02-17T00:00:00Z,35940
2010-02-18T00:00:00Z,36093
2010-02-19T00:00:00Z,36286
2010-02-20T00:00:00Z,36482
2010-02-21T00:00:00Z,36581
2010-02-22T00:00:00Z,36577
2010-02-23T00:00:00Z,36827
2010-02-24T00:00:00Z,36893
2010-02-25T00:00:00Z,36906
2010-02-26T00:00:00Z,37060
2010-02-27T00:00:00Z,37223
2010-02-28T00:00:00Z,37274
2010-03-01T00:00:00Z,37438
2010-03-02T00:00:00Z,37587
2010-03-03T00:00:00Z,37635
2010-03-04T00:00:00Z,37434
2010-03-05T00:00:00Z,37605
2010-03-06T00:00:00Z,37691
2010-03-07T00:00:00Z,37757
2010-03-08T00:00:00Z,37705
2010-03-09T00:00:00Z,37771
2010-03-10T00:00:00Z,37899
2010-03-11T00:00:00Z,37969
2010-03-12T00:00:00Z,38083
2010-03-13T00:00:00Z,38201
2010-03-14T00:00:00Z,38318
2010-03-15T00:00:00Z,38456
2010-03-16T00:00:00Z,38560
2010-03-17T00:00:00Z,38673
2010-03-18T00:00:00Z,38740
2010-03-19T00:00:00Z,38772
2010-03-20T00:00:00Z,38905
2010-03-21T00:00:00Z,39081
2010-03-22T00:00:00Z,39222
2010-03-23T00:00:00Z,39358
2010-03-24T00:00:00Z,39504
2010-03-25T00:00:00Z,39357
2010-03-26T00:00:00Z,39481
2010-03-27T00:00:00Z,39638
2010-03-28T00:00:00Z,39808
2010-03-29T00:00:00Z,39936
2010-03-30T00:00:00Z,40141
2010-03-31T00:00:00Z,40329
2010-04-01T00:00:00Z,40471
2010-04-02T00:00:00Z,40607
2010-04-03T00:00:00Z,40747
2010-04-04T00:00:00Z,40852
2010-04-05T00:00:00Z,40890
2010-04-06T00:00:00Z,40958
2010-04-07T00:00:00Z,41055
2010-04-08T00:00:00Z,41223
2010-04-09T00:00:00Z,41346
2010-04-10T00:00:00Z,41356
2010-04-11T00:00:00Z,41441
2010-04-12T00:00:00Z,41527
2010-04-13T00:00:00Z,41686
2010-04-14T00:00:00Z,41794
2010-04-15T00:00:00Z,41385
2010-04-16T00:00:00Z,41395
2010-04-17T00:00:00Z,41558
2010-04-18T00:00:00Z,41710
2010-04-19T00:00:00Z,41675
2010-04-20T00:00:00Z,41693
2010-04-21T00:00:00Z,41784
2010-04-22T00:00:00Z,41914
2010-04-23T00:00:00Z,42030
2010-04-24T00:00:00Z,42114
2010-04-25T00:00:00Z,42125
2010-04-26T00:00:00Z,42230
2010-04-27T00:00:00Z,42373
2010-04-28T00:00:00Z,42454
2010-04-29T00:00:00Z,42566
2010-04-30T00:00:00Z,42688
2010-05-01T00:00:00Z,42816
2010-05-02T00:00:00Z,42937
2010-05-03T00:00:00Z,42996
2010-05-04T00:00:00Z,42979
2010-05-05T00:00:00Z,42989
2010-05-06T00:00:00Z,42871
2010-05-07T00:00:00Z,42925
2010-05-08T00:00:00Z,42816
2010-05-09T00:00:00Z,42892
2010-05-10T00:00:00Z,42883
2010-05-11T00:00:00Z,42964
2010-05-12T00:00:00Z,42985
2010-05-13T00:00:00Z,43023
2010-05-14T00:00:00Z,43060
2010-05-15T00:00:00Z,43100
2010-05-16T00:00:00Z,43173
2010-05-17T00:00:00Z,43196
2010-05-18T00:00:00Z,43267
2010-05-19T00:00:00Z,43341
2010-05-20T00:00:00Z,43490
2010-05-21T00:00:00Z,43549
2010-05-22T00:00:00Z,43627
