Date_Key,Country,Country_Code,Fact,Fact_Type,Source
22/3/20,Portugal,PRT,15,SearchInterest,Google
29/3/20,Portugal,PRT,13,SearchInterest,Google
5/4/20,Portugal,PRT,13,SearchInterest,Google
12/4/20,Portugal,PRT,13,SearchInterest,Google
19/4/20,Portugal,PRT,12,SearchInterest,Google
26/4/20,Portugal,PRT,15,SearchInterest,Google
3/5/20,Portugal,PRT,19,SearchInterest,Google
10/5/20,Portugal,PRT,19,SearchInterest,Google
17/5/20,Portugal,PRT,14,SearchInterest,Google
24/5/20,Portugal,PRT,12,SearchInterest,Google
31/5/20,Portugal,PRT,10,SearchInterest,Google
7/6/20,Portugal,PRT,11,SearchInterest,Google
14/6/20,Portugal,PRT,7,SearchInterest,Google
21/6/20,Portugal,PRT,10,SearchInterest,Google
28/6/20,Portugal,PRT,9,SearchInterest,Google
5/7/20,Portugal,PRT,9,SearchInterest,Google
12/7/20,Portugal,PRT,9,SearchInterest,Google
19/7/20,Portugal,PRT,9,SearchInterest,Google
26/7/20,Portugal,PRT,17,SearchInterest,Google
2/8/20,Portugal,PRT,15,SearchInterest,Google
9/8/20,Portugal,PRT,12,SearchInterest,Google
16/8/20,Portugal,PRT,12,SearchInterest,Google
23/8/20,Portugal,PRT,11,SearchInterest,Google
30/8/20,Portugal,PRT,13,SearchInterest,Google
6/9/20,Portugal,PRT,11,SearchInterest,Google
13/9/20,Portugal,PRT,9,SearchInterest,Google
20/9/20,Portugal,PRT,11,SearchInterest,Google
27/9/20,Portugal,PRT,8,SearchInterest,Google
4/10/20,Portugal,PRT,8,SearchInterest,Google
11/10/15,Romania,ROU,1,SearchInterest,Google
18/10/15,Romania,ROU,1,SearchInterest,Google
25/10/15,Romania,ROU,2,SearchInterest,Google
1/11/15,Romania,ROU,2,SearchInterest,Google
8/11/15,Romania,ROU,2,SearchInterest,Google
15/11/15,Romania,ROU,1,SearchInterest,Google
22/11/15,Romania,ROU,1,SearchInterest,Google
29/11/15,Romania,ROU,2,SearchInterest,Google
6/12/15,Romania,ROU,2,SearchInterest,Google
13/12/15,Romania,ROU,1,SearchInterest,Google
20/12/15,Romania,ROU,2,SearchInterest,Google
27/12/15,Romania,ROU,2,SearchInterest,Google
3/1/16,Romania,ROU,1,SearchInterest,Google
10/1/16,Romania,ROU,2,SearchInterest,Google
17/1/16,Romania,ROU,2,SearchInterest,Google
24/1/16,Romania,ROU,1,SearchInterest,Google
31/1/16,Romania,ROU,1,SearchInterest,Google
7/2/16,Romania,ROU,1,SearchInterest,Google
14/2/16,Romania,ROU,2,SearchInterest,Google
21/2/16,Romania,ROU,1,SearchInterest,Google
28/2/16,Romania,ROU,2,SearchInterest,Google
6/3/16,Romania,ROU,1,SearchInterest,Google
13/3/16,Romania,ROU,1,SearchInterest,Google
20/3/16,Romania,ROU,2,SearchInterest,Google
27/3/16,Romania,ROU,2,SearchInterest,Google
3/4/16,Romania,ROU,1,SearchInterest,Google
10/4/16,Romania,ROU,2,SearchInterest,Google
17/4/16,Romania,ROU,1,SearchInterest,Google
24/4/16,Romania,ROU,2,SearchInterest,Google
1/5/16,Romania,ROU,2,SearchInterest,Google
8/5/16,Romania,ROU,2,SearchInterest,Google
15/5/16,Romania,ROU,1,SearchInterest,Google
22/5/16,Romania,ROU,2,SearchInterest,Google
29/5/16,Romania,ROU,2,SearchInterest,Google
5/6/16,Romania,ROU,1,SearchInterest,Google
12/6/16,Romania,ROU,2,SearchInterest,Google
19/6/16,Romania,ROU,2,SearchInterest,Google
26/6/16,Romania,ROU,2,SearchInterest,Google
3/7/16,Romania,ROU,2,SearchInterest,Google
10/7/16,Romania,ROU,1,SearchInterest,Google
17/7/16,Romania,ROU,1,SearchInterest,Google
24/7/16,Romania,ROU,2,SearchInterest,Google
31/7/16,Romania,ROU,1,SearchInterest,Google
7/8/16,Romania,ROU,1,SearchInterest,Google
14/8/16,Romania,ROU,1,SearchInterest,Google
21/8/16,Romania,ROU,1,SearchInterest,Google
28/8/16,Romania,ROU,1,SearchInterest,Google
4/9/16,Romania,ROU,2,SearchInterest,Google
11/9/16,Romania,ROU,2,SearchInterest,Google
18/9/16,Romania,ROU,2,SearchInterest,Google
25/9/16,Romania,ROU,1,SearchInterest,Google
2/10/16,Romania,ROU,1,SearchInterest,Google
9/10/16,Romania,ROU,2,SearchInterest,Google
16/10/16,Romania,ROU,2,SearchInterest,Google
23/10/16,Romania,ROU,2,SearchInterest,Google
30/10/16,Romania,ROU,2,SearchInterest,Google
6/11/16,Romania,ROU,2,SearchInterest,Google
13/11/16,Romania,ROU,2,SearchInterest,Google
